Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,11,11,6,11,2
Other causes and unknown causes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
Other external causes,0.1,0.1,2.5,0.1,0.1,2.4,0.1,0.1,2.3,0.0,0.1,2.5,0.0,0.1,2.5,123,142,124,131,143
Other diseases of the circulatory system,0.4,0.4,10.4,0.4,0.5,9.9,0.4,0.7,10.3,0.2,0.5,10.4,0.3,0.5,8.8,526,567,580,548,511
Other diseases of the nervous system and sense organs,0.2,0.1,2.3,0.2,0.1,2.2,0.1,0.2,2.4,0.2,0.2,2.5,0.2,0.2,2.5,124,135,141,145,153
Other diseases of the respiratory system,0.2,0.1,1.7,0.1,0.2,1.9,0.1,0.1,2.0,0.1,0.2,2.0,0.0,0.3,2.0,94,115,112,116,122
Other endocrine diseases,0.0,0.2,0.9,0.1,0.1,1.0,0.1,0.2,1.1,0.1,0.1,1.2,0.1,0.0,1.0,52,61,73,66,57
Other behavioral disorders,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,4,9,11,9,6
Cardiac arrest,0.1,0.0,0.6,0.0,0.1,0.7,0.1,0.1,1.0,0.1,0.0,0.8,0.0,0.0,0.1,34,43,57,43,3
Accidental falls,0.0,0.0,0.4,0.0,0.1,0.3,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.5,17,19,34,23,29
Hypertensive heart disease,0.1,0.4,6.6,0.2,0.3,6.7,0.2,0.2,6.8,0.1,0.3,7.3,0.1,0.3,6.7,333,382,363,379,373
Ischemic heart disease,0.9,0.7,14.2,0.7,0.8,12.7,0.6,1.0,12.5,0.4,0.7,11.6,0.4,1.0,11.1,744,750,713,627,660
Covid-19 virus identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,3.4,0,0,0,0,230
Covid-19 virus not identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0,0,0,0,51
Dementia,0.0,0.0,2.7,0.0,0.0,3.3,0.0,0.0,3.2,0.0,0.0,3.6,0.0,0.1,3.5,128,180,165,183,189
Diabetes,0.3,0.3,3.4,0.1,0.3,3.0,0.2,0.4,3.4,0.2,0.3,3.3,0.3,0.2,3.6,188,181,199,188,218
Influenza,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.2,0.0,0.0,0.2,0.0,0.0,0.1,8,10,13,11,7
Alzheimer's disease,0.0,0.1,2.4,0.1,0.1,3.1,0.0,0.0,2.5,0.0,0.3,2.2,0.0,0.0,2.3,120,170,133,125,123
Cerebrovascular diseases,0.3,0.4,9.1,0.3,0.5,9.1,0.3,0.6,8.2,0.2,0.4,8.2,0.1,0.5,7.1,461,527,463,436,413
Congenital diseases,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,3,3,1
Chronic lower respiratory disease,0.1,0.4,4.6,0.2,0.2,5.0,0.2,0.3,4.3,0.1,0.3,4.1,0.1,0.3,3.7,239,287,241,223,218
Blood diseases,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.1,0.5,0.0,0.0,0.3,0.0,0.0,0.7,27,29,26,18,39
Osteo-muscular diseases,0.1,0.0,0.5,0.0,0.1,0.5,0.0,0.0,0.4,0.0,0.1,0.4,0.0,0.1,0.6,27,34,21,22,35
Skin and subcutaneous tissue diseases,0.2,0.4,3.2,0.4,0.5,3.1,0.3,0.4,3.3,0.3,0.5,3.5,0.3,0.3,3.1,177,207,206,216,191
Gastrointestinal diseases,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.2,0.0,0.0,0.2,0.0,0.0,0.2,6,14,14,11,15
Genitourinary diseases,0.1,0.1,1.1,0.1,0.1,1.6,0.1,0.1,1.5,0.1,0.1,1.6,0.0,0.1,1.2,61,94,83,91,72
Infectious diseases,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.4,3,2,7,3,29
Interstitial lung diseases (Interstitial pneumonia),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
Murders,0.0,0.0,1.2,0.0,0.1,1.8,0.0,0.2,1.8,0.0,0.0,1.8,0.0,0.0,2.0,60,102,101,91,106
Pneumonia,0.0,0.1,1.3,0.0,0.0,1.2,0.0,0.0,1.0,0.0,0.0,1.3,0.1,0.1,2.4,64,64,51,70,136
"Ill-defined symptoms, signs and conditions",0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,13,6,7,11,4
Suicides,0.1,0.1,1.1,0.0,0.1,1.4,0.0,0.1,1.4,0.0,0.1,1.7,0.1,0.2,1.3,58,82,76,87,82
Tumors,2.9,2.7,15.3,2.6,3.3,14.5,2.6,3.3,15.0,2.4,3.3,15.7,2.6,3.3,14.5,978,1084,1062,1059,1080
