Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,5,1,1,,,3,,,0,,,1,,1,0,7,3,0,1,1
Other causes and unknown causes,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0
Other external causes,,,51,,,48,2,2,44,,2,51,,4,63,51,48,48,53,67
Other diseases of the circulatory system,9,13,190,17,11,220,12,13,216,5,12,238,3,13,197,212,248,241,255,213
Other diseases of the nervous system and sense organs,3,2,33,7,5,41,3,2,24,1,6,47,2,5,22,38,53,29,54,29
Other diseases of the respiratory system,3,3,37,2,2,46,1,4,39,3,6,50,1,4,49,43,50,44,59,54
Other endocrine diseases,1,2,17,1,3,26,2,3,16,3,,17,2,1,27,20,30,21,20,30
Other behavioral disorders,,2,1,,,1,1,,0,,,1,1,,2,3,1,1,1,3
Cardiac arrest,2,2,15,,2,9,,2,11,2,1,17,,,0,19,11,13,20,0
Accidental falls,,,2,,,2,,,8,,1,4,,,6,2,2,8,5,6
Hypertensive heart disease,6,7,195,1,2,210,5,10,209,8,6,217,4,6,197,208,213,224,231,207
Ischemic heart disease,20,11,225,11,12,235,12,15,203,7,15,209,7,15,195,256,258,230,231,217
Covid-19 virus identified,,,0,,,0,,,0,,,0,4,4,19,0,0,0,0,27
Covid-19 virus not identified,,,0,,,0,,,0,,,0,1,1,0,0,0,0,0,2
Dementia,,2,32,1,,63,,2,81,,,58,,,64,34,64,83,58,64
Diabetes,4,8,75,8,7,93,3,7,81,4,13,78,4,10,93,87,108,91,95,107
Influenza,1,,1,,,4,,,3,,,4,,1,6,2,4,3,4,7
Alzheimer's disease,1,1,33,,2,42,,1,35,1,,30,2,1,36,35,44,36,31,39
Cerebrovascular diseases,12,12,191,3,15,196,6,9,173,2,12,221,4,12,156,215,214,188,235,172
Congenital diseases,1,,0,,2,1,,,0,,,1,,,0,1,3,0,1,0
Chronic lower respiratory disease,4,7,139,8,5,135,4,5,126,1,5,127,3,8,131,150,148,135,133,142
Blood diseases,2,1,12,,,10,1,2,14,2,,10,,,12,15,10,17,12,12
Osteo-muscular diseases,,,8,,1,6,1,1,7,,,5,,3,15,8,7,9,5,18
Skin and subcutaneous tissue diseases,4,3,73,6,9,72,4,8,56,4,12,52,9,9,61,80,87,68,68,79
Gastrointestinal diseases,,,3,,,3,,,1,,1,1,,1,4,3,3,1,2,5
Genitourinary diseases,3,7,26,,4,41,3,7,38,2,3,49,3,6,36,36,45,48,54,45
Infectious diseases,,,0,,,1,1,,1,,,0,,,1,0,1,2,0,1
Interstitial lung diseases (Interstitial pneumonia),,,0,,,0,,,0,,,0,,,1,0,0,0,0,1
Murders,,1,16,1,,30,,3,28,2,4,24,,,19,17,31,31,30,19
Pneumonia,2,1,27,2,2,33,,2,27,1,,29,7,5,36,30,37,29,30,48
"Ill-defined symptoms, signs and conditions",,,3,1,1,2,1,1,4,1,,2,,,3,3,4,6,3,3
Suicides,56,51,297,41,54,326,64,52,308,62,80,330,53,63,321,404,421,424,472,437
Tumors,2,1,29,1,3,29,1,1,42,1,,30,2,,37,32,33,44,31,39
Total,142,140,1742,112,143,1936,129,154,1802,114,180,1908,113,175,1818,2024,2191,2085,2202,2106
