Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,0.0,0.0,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.0,14,14,14,14,6
Other causes and unknown causes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1
Other external causes,0.0,0.1,2.5,0.1,0.1,2.4,0.0,0.2,2.2,0.1,0.1,2.2,0.1,0.1,2.2,166,184,163,171,162
Other diseases of the circulatory system,0.6,0.8,10.8,0.5,0.8,9.9,0.4,0.7,10.8,0.4,0.7,10.6,0.3,0.7,9.6,754,790,789,822,716
Other diseases of the nervous system and sense organs,0.1,0.2,1.3,0.2,0.2,1.5,0.3,0.1,1.5,0.1,0.3,1.3,0.2,0.3,1.6,97,129,121,118,150
Other diseases of the respiratory system,0.2,0.1,1.8,0.1,0.2,2.2,0.1,0.3,2.1,0.1,0.2,2.2,0.1,0.2,1.9,134,179,168,178,148
Other endocrine diseases,0.1,0.1,1.0,0.1,0.1,0.9,0.0,0.2,0.9,0.1,0.1,0.9,0.0,0.1,0.9,72,77,73,78,67
Other behavioral disorders,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.1,0.1,10,9,13,10,15
Cardiac arrest,0.1,0.1,0.9,0.1,0.1,1.4,0.2,0.1,1.2,0.3,0.1,1.2,0.0,0.0,0.0,69,117,101,110,1
Accidental falls,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.4,30,21,22,26,26
Hypertensive heart disease,0.2,0.2,8.5,0.3,0.3,9.1,0.2,0.4,9.4,0.3,0.3,9.9,0.3,0.4,10.2,556,682,663,743,735
Ischemic heart disease,0.7,1.0,9.4,0.7,0.8,10.0,0.6,0.9,9.5,0.7,0.9,9.0,0.8,1.0,9.4,690,814,727,748,756
Covid-19 virus identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.1,0,0,0,0,100
