Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,4,2,7,1,5,10,,4,9,1,1,9,,3,0,13,16,13,11,3
Other causes and unknown causes,,,0,,,0,,,0,,,0,,,1,0,0,0,0,1
Other external causes,16,18,343,6,16,368,17,29,354,5,22,374,18,21,341,377,390,400,401,380
Other diseases of the circulatory system,83,122,1372,86,126,1554,103,142,1470,96,137,1590,79,132,1415,1577,1766,1715,1823,1626
Other diseases of the nervous system and sense organs,23,26,197,26,40,231,28,31,222,24,30,270,21,60,206,246,297,281,324,287
Other diseases of the respiratory system,14,32,249,31,45,305,30,55,311,25,56,296,16,43,299,295,381,396,377,358
Other endocrine diseases,12,17,75,14,17,110,17,27,106,11,19,133,22,17,115,104,141,150,163,154
Other behavioral disorders,4,1,15,3,4,15,4,5,13,1,1,17,4,4,8,20,22,22,19,16
Cardiac arrest,17,7,186,23,28,211,21,21,171,17,23,202,,,0,210,262,213,242,0
Accidental falls,2,4,33,2,4,44,,8,42,2,10,47,2,7,49,39,50,50,59,58
Hypertensive heart disease,48,62,1094,38,73,1328,33,59,1191,37,70,1298,34,50,1202,1204,1439,1283,1405,1286
Ischemic heart disease,166,209,2019,152,217,2270,148,203,2076,134,206,2063,132,205,1932,2394,2639,2427,2403,2269
Covid-19 virus identified,,,0,,,0,,,0,,,0,50,50,197,0,0,0,0,297
Covid-19 virus not identified,,,0,,,0,,,0,,,0,7,8,61,0,0,0,0,76
Dementia,4,10,318,5,15,417,2,11,366,7,18,428,3,20,414,332,437,379,453,437
Diabetes,101,121,769,60,113,869,73,115,832,59,110,867,68,115,916,991,1042,1020,1036,1099
Influenza,,,11,1,1,32,5,2,29,1,5,15,1,,16,11,34,36,21,17
Alzheimer's disease,7,12,211,6,18,265,10,23,227,11,28,279,10,18,272,230,289,260,318,300
Cerebrovascular diseases,82,98,1772,58,113,2013,57,124,1819,54,115,1752,59,138,1732,1952,2184,2000,1921,1929
Congenital diseases,3,2,3,,3,4,2,1,5,3,,5,,,9,8,7,8,8,9
Chronic lower respiratory disease,50,61,779,55,92,984,47,83,857,54,102,953,49,99,873,890,1131,987,1109,1021
Blood diseases,8,5,69,3,6,63,10,9,76,7,5,77,9,8,55,82,72,95,89,72
Osteo-muscular diseases,5,8,44,10,12,50,6,6,46,6,12,42,1,10,54,57,72,58,60,65
Skin and subcutaneous tissue diseases,54,52,423,64,77,442,46,86,424,60,88,415,52,82,424,529,583,556,563,558
Gastrointestinal diseases,,3,13,2,1,14,2,,24,1,,22,2,4,22,16,17,26,23,28
Genitourinary diseases,23,33,135,19,38,154,17,34,160,26,38,188,15,30,193,191,211,211,252,238
Infectious diseases,1,1,3,1,2,3,,1,3,,,6,3,7,24,5,6,4,6,34
Interstitial lung diseases (Interstitial pneumonia),,,0,,,0,1,,1,,,0,,,0,0,0,2,0,0
Murders,4,11,97,8,14,157,12,15,151,11,23,203,18,17,171,112,179,178,237,206
Pneumonia,24,28,248,25,37,277,13,28,276,33,41,291,50,44,443,300,339,317,365,537
"Ill-defined symptoms, signs and conditions",3,2,9,2,2,9,10,3,8,2,6,9,2,2,12,14,13,21,17,16
Suicides,666,665,2515,602,781,2466,573,735,2479,555,749,2559,604,836,2321,3846,3849,3787,3863,3761
Tumors,13,39,273,15,29,361,14,20,330,19,24,347,34,36,388,325,405,364,390,458
Total,1439,1653,13284,1318,1931,15031,1303,1881,14084,1263,1942,14765,1365,2065,14171,16376,18280,17268,17970,17601
