Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,5,6,30,8,11,32,8,8,31,12,6,23,8,5,16,41,51,47,41,29
Other causes and unknown causes,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0
Other external causes,4,15,215,8,11,247,9,10,262,10,13,257,10,5,247,234,266,281,280,262
Other diseases of the circulatory system,39,79,1547,35,80,1702,46,82,1691,42,73,1631,34,78,1647,1665,1817,1819,1746,1759
Other diseases of the nervous system and sense organs,24,37,338,30,49,404,24,46,438,23,54,460,32,69,465,399,483,508,537,566
Other diseases of the respiratory system,14,12,268,16,21,346,13,23,352,8,19,348,14,17,381,294,383,388,375,412
Other endocrine diseases,15,11,165,12,15,186,10,11,176,12,15,195,18,11,191,191,213,197,222,220
Other behavioral disorders,2,1,32,3,6,26,5,5,35,6,8,32,9,6,36,35,35,45,46,51
Cardiac arrest,5,6,48,2,7,56,3,6,67,5,6,58,0,1,0,59,65,76,69,1
Accidental falls,8,3,97,2,3,96,6,6,100,1,5,108,2,7,155,108,101,112,114,164
Hypertensive heart disease,21,27,993,17,44,1036,24,34,1018,16,32,1001,17,31,1162,1041,1097,1076,1049,1210
Ischemic heart disease,91,118,1473,74,102,1725,60,114,1474,66,84,1467,67,99,1417,1682,1901,1648,1617,1583
Covid-19 virus identified,,,0,,,0,,,0,,,0,167,310,2280,0,0,0,0,2757
Covid-19 virus not identified,,,0,,,0,,,0,,,0,27,54,602,0,0,0,0,683
Dementia,3,10,704,3,10,822,3,15,802,7,11,842,4,15,817,717,835,820,860,836
Diabetes,26,36,411,21,42,461,29,41,394,25,45,397,33,46,528,473,524,464,467,607
Influenza,,,9,1,2,61,5,1,58,6,4,54,0,6,41,9,64,64,64,47
Alzheimer's disease,3,11,191,8,9,190,3,7,197,5,12,183,2,9,243,205,207,207,200,254
Cerebrovascular diseases,29,49,1244,37,72,1401,33,50,1324,40,63,1316,32,74,1286,1322,1510,1407,1419,1392
Congenital diseases,,2,10,1,1,7,1,3,6,2,3,4,2,3,13,12,9,10,9,18
Chronic lower respiratory disease,24,39,630,23,58,777,20,47,671,21,54,693,27,45,628,693,858,738,768,700
Blood diseases,6,5,65,3,5,73,4,4,75,1,10,81,1,11,78,76,81,83,92,90
Osteo-muscular diseases,7,6,80,12,8,96,6,3,92,5,4,89,3,6,94,93,116,101,98,103
Skin and subcutaneous tissue diseases,27,44,500,31,48,553,36,53,476,44,45,522,24,59,494,571,632,565,611,577
Gastrointestinal diseases,3,1,42,2,1,34,2,3,39,2,3,49,2,1,45,46,37,44,54,48
Genitourinary diseases,20,29,420,14,37,469,17,29,481,15,33,536,12,31,440,469,520,527,584,483
Infectious diseases,,,7,1,,9,,,2,1,1,1,30,60,530,7,10,2,3,620
Interstitial lung diseases (Interstitial pneumonia),,1,0,,1,1,1,1,0,,2,1,,,2,1,2,2,3,2
Murders,6,7,422,13,22,597,6,13,561,13,16,599,11,34,629,435,632,580,628,674
Pneumonia,6,5,215,6,7,244,8,10,285,2,8,289,9,18,455,226,257,303,299,482
"Ill-defined symptoms, signs and conditions",10,4,38,11,15,35,6,5,28,19,9,36,9,7,40,52,61,39,64,56
Suicides,8,13,297,7,12,350,6,10,352,7,10,390,12,15,380,318,369,368,407,407
Tumors,495,563,2962,442,597,2995,427,561,3099,390,548,2986,365,670,2977,4020,4034,4087,3924,4012
Total,902,1142,13464,844,1298,15043,823,1202,14593,809,1201,14655,985,1803,18320,15508,17185,16618,16665,21108
