Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,8,4,6,3,2
Other causes and unknown causes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Other external causes,0.1,0.1,1.2,0.1,0.1,1.0,0.1,0.2,1.3,0.0,0.1,1.3,0.0,0.1,1.3,72,63,75,66,78
Other diseases of the circulatory system,0.4,0.2,8.0,0.2,0.5,7.8,0.3,0.4,8.6,0.3,0.5,8.9,0.3,0.4,7.5,409,438,462,455,440
Other diseases of the nervous system and sense organs,0.2,0.4,2.2,0.3,0.4,2.1,0.1,0.4,2.2,0.2,0.3,2.1,0.2,0.3,2.6,130,145,134,121,168
Other diseases of the respiratory system,0.0,0.1,2.0,0.2,0.1,3.1,0.0,0.2,3.1,0.1,0.1,3.0,0.1,0.2,2.6,99,170,163,147,153
Other endocrine diseases,0.0,0.1,0.8,0.1,0.1,1.2,0.1,0.1,0.7,0.0,0.1,1.0,0.0,0.1,1.0,44,70,45,52,59
Other behavioral disorders,0.0,0.1,0.2,0.1,0.0,0.2,0.1,0.0,0.2,0.0,0.1,0.3,0.0,0.0,0.3,14,13,12,18,20
Cardiac arrest,0.1,0.1,0.3,0.0,0.1,0.3,0.1,0.1,0.5,0.0,0.0,0.3,0.0,0.0,0.0,20,23,35,19,1
Accidental falls,0.1,0.1,0.7,0.0,0.0,0.6,0.0,0.0,0.8,0.1,0.1,1.0,0.0,0.1,0.8,37,32,40,56,48
Hypertensive heart disease,0.2,0.2,5.8,0.1,0.3,6.4,0.1,0.2,5.9,0.2,0.2,5.6,0.1,0.2,5.4,290,351,302,277,305
Ischemic heart disease,0.4,0.7,12.4,0.5,0.7,11.4,0.3,0.8,10.1,0.5,0.6,10.6,0.4,0.7,9.7,637,647,556,552,579
Covid-19 virus identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,3.7,0,0,0,0,226
Covid-19 virus not identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,31
Dementia,0.1,0.0,4.1,0.0,0.1,3.7,0.0,0.1,3.6,0.0,0.0,4.1,0.0,0.1,4.3,197,197,181,197,236
Diabetes,0.1,0.3,1.9,0.2,0.3,2.2,0.1,0.4,2.5,0.2,0.1,2.4,0.1,0.1,2.3,107,137,144,128,135
Influenza,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.2,3,13,7,20,12
