Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,28,37,35,34,25
Other causes and unknown causes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
Other external causes,0.1,0.1,2.5,0.1,0.1,2.3,0.1,0.1,2.6,0.1,0.1,2.7,0.0,0.1,2.2,477,499,523,543,452
Other diseases of the circulatory system,0.5,0.6,9.1,0.3,0.7,10.2,0.4,0.7,9.9,0.4,0.7,10.2,0.4,0.7,9.4,1795,2212,2077,2178,1953
Other diseases of the nervous system and sense organs,0.2,0.2,2.1,0.2,0.2,2.1,0.2,0.3,2.2,0.2,0.3,2.3,0.2,0.3,2.0,435,499,493,523,472
Other diseases of the respiratory system,0.1,0.2,1.9,0.1,0.2,2.0,0.1,0.2,2.0,0.1,0.1,2.1,0.1,0.1,1.8,396,456,426,463,378
Other endocrine diseases,0.1,0.1,0.9,0.1,0.1,1.0,0.1,0.1,0.9,0.1,0.2,0.9,0.1,0.1,0.8,197,232,202,228,192
Other behavioral disorders,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,27,30,27,31,32
Cardiac arrest,0.1,0.0,0.4,0.1,0.1,0.4,0.0,0.1,0.5,0.0,0.1,0.5,0.0,0.0,0.0,84,112,104,118,1
Accidental falls,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,77,85,80,95,79
Hypertensive heart disease,0.2,0.3,5.5,0.2,0.3,6.0,0.1,0.2,5.9,0.2,0.3,5.6,0.1,0.3,6.1,1060,1277,1169,1166,1226
Ischemic heart disease,0.7,0.9,11.9,0.7,0.9,11.4,0.6,0.8,11.1,0.6,0.8,10.1,0.6,0.8,9.9,2395,2584,2340,2231,2124
Covid-19 virus identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,2.4,0,0,0,0,562
Covid-19 virus not identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0,0,0,0,54
Dementia,0.0,0.1,2.4,0.0,0.0,2.8,0.0,0.0,2.9,0.0,0.1,3.3,0.0,0.0,2.9,438,561,542,654,562
Diabetes,0.3,0.3,3.3,0.2,0.3,3.3,0.2,0.3,3.0,0.2,0.4,3.4,0.2,0.3,3.4,675,755,657,784,733
Influenza,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,12,49,29,49,20
Alzheimer's disease,0.0,0.1,1.5,0.1,0.1,1.7,0.1,0.1,1.9,0.0,0.1,1.6,0.0,0.1,1.7,293,376,386,332,349
Cerebrovascular diseases,0.3,0.5,7.8,0.3,0.5,7.6,0.3,0.6,7.3,0.3,0.4,7.3,0.3,0.6,6.9,1524,1663,1530,1557,1456
Congenital diseases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9,10,11,15
Chronic lower respiratory disease,0.2,0.3,4.5,0.2,0.3,4.8,0.2,0.3,4.3,0.1,0.4,4.6,0.1,0.4,4.3,884,1049,908,983,909
Blood diseases,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,99,126,119,122,127
Osteo-muscular diseases,0.0,0.1,0.4,0.0,0.0,0.5,0.0,0.1,0.4,0.0,0.1,0.5,0.1,0.1,0.4,91,102,92,109,102
Skin and subcutaneous tissue diseases,0.3,0.3,2.6,0.2,0.4,2.6,0.2,0.4,2.8,0.3,0.4,2.8,0.3,0.3,2.6,556,648,633,668,606
Gastrointestinal diseases,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.2,50,49,50,40,40
Genitourinary diseases,0.1,0.2,1.5,0.1,0.2,1.6,0.1,0.2,1.6,0.1,0.2,1.7,0.1,0.2,1.4,330,394,356,379,305
Infectious diseases,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,13,9,14,8,70
Interstitial lung diseases (Interstitial pneumonia),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,1,2
Murders,0.1,0.1,2.0,0.1,0.2,2.9,0.1,0.2,2.8,0.1,0.2,3.2,0.1,0.2,2.8,381,634,584,674,570
Pneumonia,0.0,0.0,1.1,0.0,0.0,1.2,0.0,0.1,1.3,0.0,0.1,1.1,0.0,0.1,1.7,210,247,249,235,333
"Ill-defined symptoms, signs and conditions",0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,31,34,28,30,28
Suicides,0.1,0.1,2.0,0.1,0.1,1.8,0.1,0.1,2.1,0.1,0.1,1.9,0.0,0.1,1.9,374,394,422,405,385
Tumors,3.6,4.2,18.7,3.3,3.9,16.7,3.0,4.2,17.5,2.8,4.0,17.2,3.1,4.1,17.5,4667,4729,4616,4636,4631
