Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,5,1,4,1,2,3,,4,7,1,2,9,2,1,7,10,6,11,12,10
Other causes and unknown causes,,1,0,,,0,,,0,,,0,,,0,1,0,0,0,0
Other external causes,8,7,117,2,4,147,4,7,130,3,5,117,1,2,110,132,153,141,125,113
Other diseases of the circulatory system,29,43,723,18,43,802,23,42,745,23,40,773,16,38,795,795,863,810,836,849
Other diseases of the nervous system and sense organs,28,23,174,9,20,215,9,29,238,13,16,225,9,19,219,225,244,276,254,247
Other diseases of the respiratory system,6,9,107,5,11,166,5,13,149,4,15,150,5,18,175,122,182,167,169,198
Other endocrine diseases,4,4,82,4,8,86,3,10,64,4,8,66,1,10,55,90,98,77,78,66
Other behavioral disorders,2,2,20,2,2,13,3,5,19,4,4,16,1,,19,24,17,27,24,20
Cardiac arrest,2,3,21,2,1,30,1,4,29,3,2,22,,,0,26,33,34,27,0
Accidental falls,1,3,47,5,8,58,1,5,44,3,3,48,4,2,60,51,71,50,54,66
Hypertensive heart disease,11,13,337,5,11,413,3,13,419,19,10,352,5,13,437,361,429,435,381,455
Ischemic heart disease,29,45,677,19,42,710,35,46,644,24,56,589,27,53,614,751,771,725,669,694
Covid-19 virus identified,,,0,,,0,,,0,,,0,58,108,842,0,0,0,0,1008
Covid-19 virus not identified,,,0,,,0,,,0,,,0,12,9,223,0,0,0,0,244
Dementia,,3,218,4,,268,,3,258,3,5,242,2,4,317,221,272,261,250,323
Diabetes,12,20,172,12,24,226,17,17,204,5,19,211,12,22,265,204,262,238,235,299
Influenza,,1,5,,1,21,1,1,27,,2,14,2,,18,6,22,29,16,20
Alzheimer's disease,1,3,131,2,6,151,,4,170,2,8,143,3,9,178,135,159,174,153,190
Cerebrovascular diseases,12,24,600,28,25,643,19,34,711,16,29,579,20,37,690,636,696,764,624,747
Congenital diseases,,1,2,,,3,1,,5,3,3,4,2,,5,3,3,6,10,7
Chronic lower respiratory disease,19,19,300,18,30,345,9,24,307,7,19,293,13,26,307,338,393,340,319,346
Blood diseases,1,,36,1,1,36,4,2,41,2,1,38,3,4,44,37,38,47,41,51
Osteo-muscular diseases,1,1,37,,3,38,3,10,55,1,7,47,1,3,60,39,41,68,55,64
Skin and subcutaneous tissue diseases,19,13,186,28,24,194,23,28,245,14,22,207,16,19,233,218,246,296,243,268
Gastrointestinal diseases,1,1,15,,,15,,1,16,,1,20,,,16,17,15,17,21,16
Genitourinary diseases,8,9,146,16,10,193,6,7,165,9,10,180,4,14,156,163,219,178,199,174
Infectious diseases,,1,3,1,,6,,1,1,,1,3,2,13,76,4,7,2,4,91
Interstitial lung diseases (Interstitial pneumonia),,,0,,,1,,,0,,,1,,,2,0,1,0,1,2
Murders,3,6,147,6,7,220,5,13,223,1,9,188,12,19,257,156,233,241,198,288
Pneumonia,12,9,136,9,13,138,15,14,166,9,5,152,20,21,211,157,160,195,166,252
"Ill-defined symptoms, signs and conditions",2,3,11,1,4,9,2,2,4,1,1,9,4,3,6,16,14,8,11,13
Suicides,186,246,1186,162,254,1365,175,272,1315,163,220,1351,170,212,1276,1618,1781,1762,1734,1658
Tumors,3,4,120,6,1,136,3,7,118,6,6,133,5,12,158,127,143,128,145,175
Total,408,520,5768,367,557,6659,371,618,6528,345,532,6195,431,694,7835,6696,7583,7517,7072,8960
