Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,7,10,30,12,10,34,9,6,38,17,5,50,6,3,19,47,56,53,72,28
Other causes and unknown causes,,,0,,,0,,,0,,1,0,,,0,0,0,0,1,0
Other external causes,16,20,409,12,25,493,21,37,536,16,25,510,13,22,621,445,530,594,551,656
Other diseases of the circulatory system,82,174,2627,115,169,3145,96,206,3097,89,180,3227,125,189,3831,2883,3429,3399,3496,4145
Other diseases of the nervous system and sense organs,70,69,719,60,102,782,56,106,829,62,101,828,80,134,1227,858,944,991,991,1441
Other diseases of the respiratory system,19,42,522,28,39,694,20,43,647,34,57,714,29,79,1156,583,761,710,805,1264
Other endocrine diseases,18,27,217,13,27,257,11,21,241,18,32,269,32,26,375,262,297,273,319,433
Other behavioral disorders,10,10,57,9,9,61,11,13,58,15,6,83,14,19,109,77,79,82,104,142
Cardiac arrest,21,14,141,17,16,154,20,21,165,22,23,168,1,1,4,176,187,206,213,6
Accidental falls,8,9,135,6,17,183,7,6,173,9,17,151,13,18,245,152,206,186,177,276
Hypertensive heart disease,43,59,1307,29,55,1539,31,54,1573,31,46,1530,39,76,2355,1409,1623,1658,1607,2470
Ischemic heart disease,171,219,2879,168,229,3136,157,221,2893,140,233,2946,169,279,3441,3269,3533,3271,3319,3889
Covid-19 virus identified,,,0,,,0,,,0,,,0,938,1625,8168,0,0,0,0,10731
Covid-19 virus not identified,,,0,,,0,,,0,,,0,46,114,1364,0,0,0,0,1524
Dementia,6,25,992,14,22,1307,12,29,1376,17,24,1397,12,44,2211,1023,1343,1417,1438,2267
Diabetes,56,63,652,49,69,760,49,68,728,56,66,735,50,103,1234,771,878,845,857,1387
Influenza,1,2,14,,3,105,6,6,72,4,4,47,4,19,184,17,108,84,55,207
Alzheimer's disease,12,32,759,8,31,853,13,43,826,19,41,899,20,59,1455,803,892,882,959,1534
Cerebrovascular diseases,77,121,2608,85,135,2905,77,153,2708,69,150,2594,102,194,3418,2806,3125,2938,2813,3714
Congenital diseases,3,5,12,11,3,16,6,6,9,4,5,14,9,4,16,20,30,21,23,29
Chronic lower respiratory disease,45,79,1123,46,86,1496,54,94,1324,47,112,1379,60,106,1973,1247,1628,1472,1538,2139
Blood diseases,9,6,126,6,13,163,5,5,125,3,18,158,7,15,214,141,182,135,179,236
Osteo-muscular diseases,12,20,153,12,19,166,15,14,169,11,17,165,18,16,251,185,197,198,193,285
Skin and subcutaneous tissue diseases,82,110,844,81,86,922,81,106,872,81,92,867,81,152,955,1036,1089,1059,1040,1188
Gastrointestinal diseases,3,3,53,1,1,60,1,8,50,1,4,61,2,7,67,59,62,59,66,76
Genitourinary diseases,39,66,634,31,50,724,36,67,603,24,56,702,42,63,771,739,805,706,782,876
Infectious diseases,1,3,14,,5,11,,2,17,2,3,8,79,145,928,18,16,19,13,1152
Interstitial lung diseases (Interstitial pneumonia),2,1,0,,,2,,,2,,,2,,,1,3,2,2,2,1
Murders,13,30,724,28,51,1086,21,46,1091,22,40,1049,81,167,2464,767,1165,1158,1111,2712
Pneumonia,10,15,488,9,22,612,5,8,647,13,17,664,45,68,1486,513,643,660,694,1599
"Ill-defined symptoms, signs and conditions",15,7,30,24,8,39,17,9,30,12,18,50,13,14,40,52,71,56,80,67
Suicides,20,27,532,18,41,605,13,28,630,18,34,635,9,36,811,579,664,671,687,856
Tumors,1134,1428,6272,1080,1302,6437,975,1426,6486,938,1415,6553,905,1371,6714,8834,8819,8887,8906,8990
Total,2009,2698,25077,1975,2647,28755,1828,2854,28017,1797,2843,28454,3043,5167,48115,29784,33377,32699,33094,56325
