Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,2,1,8,2,1,7,,4,13,6,2,12,3,2,7,11,10,17,20,12
Other causes and unknown causes,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0
Other external causes,4,1,105,3,4,119,2,6,115,2,,124,3,2,103,110,126,123,126,108
Other diseases of the circulatory system,12,21,590,21,22,642,14,27,559,9,30,627,14,26,608,623,685,600,666,648
Other diseases of the nervous system and sense organs,13,12,137,9,9,158,8,11,148,7,19,154,12,15,136,162,176,167,180,163
Other diseases of the respiratory system,1,4,89,1,10,112,4,4,116,2,7,130,4,9,110,94,123,124,139,123
Other endocrine diseases,1,7,44,3,4,71,3,5,57,5,7,67,4,6,77,52,78,65,79,87
Other behavioral disorders,,1,5,1,2,10,5,1,6,,1,8,5,,3,6,13,12,9,8
Cardiac arrest,1,1,17,1,1,26,,,16,1,,12,,,1,19,28,16,13,1
Accidental falls,,3,23,,2,32,3,3,24,2,,22,,1,37,26,34,30,24,38
Hypertensive heart disease,6,8,251,4,6,295,5,14,292,6,10,282,9,16,353,265,305,311,298,378
Ischemic heart disease,32,42,685,25,28,738,28,31,670,25,40,654,24,45,687,759,791,729,719,756
Covid-19 virus identified,,,0,,,0,,,0,,,0,57,77,657,0,0,0,0,791
Covid-19 virus not identified,,,0,,,0,,,0,,,0,4,7,47,0,0,0,0,58
Dementia,2,8,190,5,5,241,3,5,271,1,4,251,1,5,251,200,251,279,256,257
Diabetes,14,16,161,7,13,168,14,14,141,8,10,132,8,12,188,191,188,169,150,208
Influenza,,1,8,1,,15,1,1,11,1,2,15,1,,5,9,16,13,18,6
Alzheimer's disease,1,2,154,4,8,187,,8,184,,7,162,1,6,185,157,199,192,169,192
Cerebrovascular diseases,9,16,479,13,18,611,7,24,498,9,24,544,14,14,509,504,642,529,577,537
Congenital diseases,1,2,2,,,2,2,,4,,1,3,1,2,3,5,2,6,4,6
Chronic lower respiratory disease,5,18,212,6,20,249,12,18,250,5,18,232,4,10,253,235,275,280,255,267
Blood diseases,,1,17,,2,19,,3,25,1,1,19,1,3,19,18,21,28,21,23
Osteo-muscular diseases,1,1,27,2,4,28,3,1,18,,3,33,,,33,29,34,22,36,33
Skin and subcutaneous tissue diseases,10,8,185,12,19,172,10,11,166,9,12,150,7,12,157,203,203,187,171,176
Gastrointestinal diseases,1,,14,,,11,,,9,1,1,11,,,11,15,11,9,13,11
Genitourinary diseases,6,5,103,2,5,142,1,11,133,7,12,164,1,12,127,114,149,145,183,140
Infectious diseases,,,0,,,1,,,3,,,2,3,,20,0,1,3,2,23
Interstitial lung diseases (Interstitial pneumonia),,,0,,,0,,,1,,1,0,,,0,0,0,1,1,0
Murders,2,4,94,2,3,175,4,6,164,6,7,181,2,8,149,100,180,174,194,159
Pneumonia,,,68,1,3,65,,1,83,,1,62,3,4,123,68,69,84,63,130
"Ill-defined symptoms, signs and conditions",4,2,7,2,3,12,2,1,4,2,1,8,1,1,8,13,17,7,11,10
Suicides,3,5,77,,3,110,6,6,108,1,4,116,3,6,136,85,113,120,121,145
Tumors,167,170,1034,149,171,1046,133,173,975,125,212,972,120,196,1017,1371,1366,1281,1309,1333
Total,299,362,4791,278,367,5470,271,391,5074,244,440,5158,311,501,6029,5452,6115,5736,5842,6841
