Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,,,1,,1,3,,4,13,1,2,3,3,2,1,1,4,17,6,6
Other causes and unknown causes,,,0,,,0,,,0,1,,0,,,0,0,0,0,1,0
Other external causes,,,25,,,47,2,6,115,1,2,36,1,7,29,25,47,123,39,37
Other diseases of the circulatory system,5,11,133,6,6,160,14,27,559,4,9,159,4,6,113,149,172,600,172,123
Other diseases of the nervous system and sense organs,2,7,14,1,1,23,8,11,148,3,6,21,1,5,35,23,25,167,30,41
Other diseases of the respiratory system,2,1,23,1,1,28,4,4,116,3,1,29,,0,25,26,30,124,33,25
Other endocrine diseases,,,21,1,1,14,3,5,57,,1,10,1,3,19,21,16,65,11,23
Other behavioral disorders,2,,5,,,2,5,1,6,1,,2,,1,1,7,2,12,3,2
Cardiac arrest,5,2,12,1,1,23,,,16,,,17,,,0,19,25,16,17,0
Accidental falls,,1,4,1,,0,3,3,24,,,3,,0,5,5,1,30,3,5
Hypertensive heart disease,,2,71,1,2,83,5,14,292,3,2,82,1,2,86,73,86,311,87,89
Ischemic heart disease,11,2,183,9,9,165,28,31,670,5,8,162,6,8,145,196,183,729,175,159
Covid-19 virus identified,,,0,,,0,,,0,,,0,4,2,19,0,0,0,0,25
Covid-19 virus not identified,,,0,,,0,,,0,,,0,,0,3,0,0,0,0,3
Dementia,,,35,,,25,3,5,271,,,27,1,1,37,35,25,279,27,39
Diabetes,1,3,42,5,8,43,14,14,141,,4,45,2,2,43,46,56,169,49,47
Influenza,1,,1,,1,3,1,1,11,,,0,,,2,2,4,13,0,2
Alzheimer's disease,,2,24,,1,21,,8,184,,,19,1,4,24,26,22,192,19,29
Cerebrovascular diseases,4,8,124,6,8,110,7,24,498,1,10,100,4,10,102,136,124,529,111,116
Congenital diseases,,,0,,,1,2,,4,,1,1,,,2,0,1,6,2,2
Chronic lower respiratory disease,,3,41,2,1,55,12,18,250,3,6,52,2,3,60,44,58,280,61,65
Blood diseases,,,7,,,3,,3,25,,1,8,1,0,6,7,3,28,9,7
Osteo-muscular diseases,,1,3,2,,5,3,1,18,,,8,,3,5,4,7,22,8,8
Skin and subcutaneous tissue diseases,1,3,33,2,2,44,10,11,166,2,3,33,4,7,31,37,48,187,38,42
Gastrointestinal diseases,,,4,,,1,,,9,,,4,,,7,4,1,9,4,7
Genitourinary diseases,2,2,20,,3,6,1,11,133,2,2,13,1,2,18,24,9,145,17,21
Infectious diseases,,,0,,,0,,,3,,,2,,0,0,0,0,3,2,0
Interstitial lung diseases (Interstitial pneumonia),,,0,,,0,,,1,,1,0,,,0,0,0,1,1,0
Murders,2,1,14,3,1,20,3,1,20,2,,29,1,1,25,17,24,24,31,27
Pneumonia,,,25,,,17,,,17,1,1,22,1,2,37,25,17,17,24,40
"Ill-defined symptoms, signs and conditions",,,0,,2,5,,2,5,,,0,1,,1,0,7,7,0,2
Suicides,,,19,1,2,21,1,2,21,,1,28,,2,21,19,24,24,29,23
Tumors,25,35,163,35,44,202,35,44,202,25,38,185,24,35,164,223,281,281,248,223
Total,63,84,1047,77,95,1130,164,251,3995,58,99,1100,64,108,1066,1194,1302,4410,1257,1238
