Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,3,5,19,4,5,25,9,5,26,9,15,24,3,4,16,27,34,40,48,23
Other causes and unknown causes,,,0,,,0,,1,1,,1,0,,,2,0,0,2,1,2
Other external causes,4,7,187,8,13,231,16,11,214,15,15,215,6,10,212,198,252,241,245,228
Other diseases of the circulatory system,80,83,1658,79,95,1774,55,88,1843,50,96,1835,38,116,1811,1821,1948,1986,1981,1965
Other diseases of the nervous system and sense organs,26,56,379,31,45,438,27,53,500,29,72,453,44,69,553,461,514,580,554,666
Other diseases of the respiratory system,11,23,273,11,38,432,24,36,398,15,19,385,10,19,376,307,481,458,419,405
Other endocrine diseases,8,14,125,14,11,135,8,13,155,10,15,124,4,15,169,147,160,176,149,188
Other behavioral disorders,4,4,30,9,8,35,10,11,45,4,10,34,7,5,41,38,52,66,48,53
Cardiac arrest,7,9,45,6,5,55,7,5,67,4,7,55,1,,0,61,66,79,66,1
Accidental falls,3,3,100,5,5,98,4,6,114,8,3,102,4,7,107,106,108,124,113,118
Hypertensive heart disease,25,26,864,13,27,962,16,50,1001,23,38,917,28,34,1072,915,1002,1067,978,1134
Ischemic heart disease,98,117,1301,95,122,1401,102,112,1308,73,134,1307,84,145,1398,1516,1618,1522,1514,1627
Covid-19 virus identified,,,0,,,0,,,0,,,0,161,346,2535,0,0,0,0,3042
Covid-19 virus not identified,,,0,,,0,,,0,,,0,7,34,559,0,0,0,0,600
Dementia,6,10,655,12,18,729,1,13,783,5,19,766,4,21,887,671,759,797,790,912
Diabetes,14,41,421,33,43,443,32,49,455,29,55,439,34,48,555,476,519,536,523,637
Influenza,1,2,9,1,1,38,3,3,69,4,5,33,4,5,48,12,40,75,42,57
Alzheimer's disease,4,18,241,6,14,279,3,19,266,2,16,246,4,14,301,263,299,288,264,319
Cerebrovascular diseases,40,75,1813,48,80,1956,41,93,1894,42,87,1715,51,99,1953,1928,2084,2028,1844,2103
Congenital diseases,1,2,9,4,6,2,6,1,4,6,2,4,5,3,3,12,12,11,12,11
Chronic lower respiratory disease,27,56,653,26,54,827,37,80,848,25,65,752,21,66,763,736,907,965,842,850
Blood diseases,6,6,64,5,3,82,1,6,74,7,4,81,3,,70,76,90,81,92,73
Osteo-muscular diseases,5,6,69,9,12,100,3,5,87,5,9,94,5,9,113,80,121,95,108,127
Skin and subcutaneous tissue diseases,48,63,463,53,58,463,42,73,505,43,58,504,35,60,490,574,574,620,605,585
Gastrointestinal diseases,1,2,34,,3,48,1,5,50,1,3,37,1,1,44,37,51,56,41,46
Genitourinary diseases,20,26,309,14,21,341,24,24,376,14,30,346,11,31,333,355,376,424,390,375
Infectious diseases,,,6,,,5,,1,10,,,7,5,21,127,6,5,11,7,153
Interstitial lung diseases (Interstitial pneumonia),3,,3,,1,2,,1,3,,1,1,1,1,0,6,3,4,2,2
Murders,12,22,406,18,24,592,23,30,621,5,39,637,16,33,609,440,634,674,681,658
Pneumonia,3,8,416,4,12,483,8,10,578,2,9,588,13,20,702,427,499,596,599,735
"Ill-defined symptoms, signs and conditions",8,11,27,4,13,29,16,12,34,4,6,25,15,13,22,46,46,62,35,50
Suicides,7,13,224,8,15,291,7,15,289,6,20,322,12,16,308,244,314,311,348,336
Tumors,553,647,3075,529,636,2995,534,651,2984,485,647,3036,421,640,2980,4275,4160,4169,4168,4041
Total,1028,1355,13878,1049,1388,15291,1060,1482,15602,925,1500,15084,1058,1905,19159,16261,17728,18144,17509,22122
