Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,1,6,18,1,6,12,3,6,15,1,1,4,2,1,2,25,19,24,6,5
Other causes and unknown causes,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0
Other external causes,12,13,245,11,14,257,5,17,247,5,13,273,6,10,233,270,282,269,291,249
Other diseases of the circulatory system,52,75,1052,71,69,1156,42,84,1162,41,91,1162,46,67,1159,1179,1296,1288,1294,1272
Other diseases of the nervous system and sense organs,8,28,243,25,38,272,24,36,288,27,38,288,19,36,299,279,335,348,353,354
Other diseases of the respiratory system,13,22,207,16,23,258,17,25,259,16,31,279,19,19,278,242,297,301,326,316
Other endocrine diseases,8,14,120,13,21,127,12,16,126,14,16,138,12,19,135,142,161,154,168,166
Other behavioral disorders,3,1,9,3,2,17,1,4,7,1,7,14,4,5,15,13,22,12,22,24
Cardiac arrest,7,5,101,13,20,101,11,20,106,20,20,119,,,0,113,134,137,159,0
Accidental falls,4,5,56,6,5,57,5,4,58,2,3,65,2,8,70,65,68,67,70,80
Hypertensive heart disease,22,33,974,25,56,1174,26,36,1177,23,47,1234,37,55,1296,1029,1255,1239,1304,1388
Ischemic heart disease,88,117,1165,80,105,1420,66,109,1258,90,113,1345,56,112,1321,1370,1605,1433,1548,1489
Covid-19 virus identified,,,0,,,0,,,0,,,0,23,45,281,0,0,0,0,349
Covid-19 virus not identified,,,0,,,0,,,0,,,0,1,2,27,0,0,0,0,30
Dementia,4,9,317,4,3,378,6,8,385,4,13,389,3,6,362,330,385,399,406,371
Diabetes,40,70,500,37,74,570,41,63,570,40,68,554,32,71,589,610,681,674,662,692
Influenza,2,1,8,1,,9,2,5,28,4,2,22,2,2,14,11,10,35,28,18
Alzheimer's disease,6,22,262,6,19,289,2,10,286,12,20,274,8,19,304,290,314,298,306,331
Cerebrovascular diseases,34,45,860,29,67,997,29,56,825,31,74,884,36,46,901,939,1093,910,989,983
Congenital diseases,4,,5,2,5,3,1,1,4,1,,3,1,,5,9,10,6,4,6
Chronic lower respiratory disease,23,37,638,36,51,783,28,48,726,29,46,708,19,49,663,698,870,802,783,731
Blood diseases,4,10,78,5,7,72,1,7,60,5,6,70,2,8,68,92,84,68,81,78
Osteo-muscular diseases,5,5,39,6,6,52,6,6,48,,10,56,8,8,45,49,64,60,66,61
Skin and subcutaneous tissue diseases,39,52,329,31,53,360,33,49,369,28,55,387,34,53,354,420,444,451,470,441
Gastrointestinal diseases,,2,20,,1,21,3,1,33,1,2,20,1,,26,22,22,37,23,27
Genitourinary diseases,17,29,195,13,23,186,16,22,177,12,25,200,16,35,235,241,222,215,237,286
Infectious diseases,,,3,,2,7,,1,5,1,1,6,2,4,17,3,9,6,8,23
Interstitial lung diseases (Interstitial pneumonia),,,2,,,2,,1,1,,,0,,,0,2,2,2,0,0
Murders,2,7,131,7,4,178,7,6,161,8,14,208,4,13,174,140,189,174,230,191
Pneumonia,4,6,206,2,6,236,5,7,222,4,8,226,17,28,363,216,244,234,238,408
"Ill-defined symptoms, signs and conditions",6,8,8,4,7,8,3,1,11,4,5,12,4,4,5,22,19,15,21,13
Suicides,15,9,225,6,14,278,13,19,270,6,21,283,3,20,276,249,298,302,310,299
Tumors,438,432,2077,392,480,2038,381,505,2062,376,563,2126,389,546,2082,2947,2910,2948,3065,3017
Total,861,1063,10093,845,1181,11318,789,1173,10946,806,1313,11349,808,1291,11599,12017,13344,12908,13468,13698
