Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,1,3,5,2,1,7,,3,4,2,,8,,1,4,9,10,7,10,5
Other causes and unknown causes,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0
Other external causes,6,2,93,4,4,112,1,6,128,1,6,113,7,6,92,101,120,135,120,105
Other diseases of the circulatory system,23,37,469,23,41,532,17,29,499,20,34,487,20,32,503,529,596,545,541,555
Other diseases of the nervous system and sense organs,7,17,79,5,17,90,24,28,114,11,19,112,7,22,125,103,112,166,142,154
Other diseases of the respiratory system,4,6,113,5,10,105,10,17,98,5,8,95,11,11,109,123,120,125,108,131
Other endocrine diseases,7,6,53,5,3,62,10,3,79,4,4,71,1,4,69,66,70,92,79,74
Other behavioral disorders,1,2,9,1,1,8,3,5,2,2,,12,2,3,15,12,10,10,14,20
Cardiac arrest,2,6,44,7,6,34,5,6,55,2,7,54,,,0,52,47,66,63,0
Accidental falls,2,3,32,1,4,27,3,4,29,1,4,27,2,1,44,37,32,36,32,47
Hypertensive heart disease,11,14,245,9,11,275,9,12,270,11,11,301,6,12,317,270,295,291,323,335
Ischemic heart disease,40,51,374,28,62,415,25,34,372,37,39,397,34,48,389,465,505,431,473,471
Covid-19 virus identified,,,0,,,0,,,0,,,0,7,8,97,0,0,0,0,112
Covid-19 virus not identified,,,0,,,0,,,0,,,0,2,,10,0,0,0,0,12
Dementia,2,7,219,1,9,307,2,6,281,3,7,313,1,6,308,228,317,289,323,315
Diabetes,10,9,134,16,16,132,11,15,138,8,12,151,13,18,197,153,164,164,171,228
Influenza,,,7,2,3,19,2,1,17,,2,8,,,5,7,24,20,10,5
Alzheimer's disease,4,9,139,5,6,149,1,4,150,3,7,122,3,12,148,152,160,155,132,163
Cerebrovascular diseases,17,21,400,12,24,416,23,30,422,14,28,390,22,29,414,438,452,475,432,465
Congenital diseases,4,,1,,1,4,2,,2,2,,4,3,2,2,5,5,4,6,7
Chronic lower respiratory disease,11,19,215,14,16,228,8,9,204,13,20,234,11,24,197,245,258,221,267,232
Blood diseases,,4,29,1,2,33,,2,36,1,4,21,2,1,37,33,36,38,26,40
Osteo-muscular diseases,3,6,24,3,2,30,6,3,33,4,4,31,1,6,24,33,35,42,39,31
Skin and subcutaneous tissue diseases,29,22,146,24,20,140,22,23,175,18,26,198,22,26,137,197,184,220,242,185
Gastrointestinal diseases,1,,5,1,,8,1,,7,1,,14,,0,16,6,9,8,15,16
Genitourinary diseases,8,8,88,9,6,103,4,15,87,13,5,111,5,12,90,104,118,106,129,107
Infectious diseases,,,2,,1,5,,4,5,,,4,,4,15,2,6,9,4,19
Interstitial lung diseases (Interstitial pneumonia),,1,2,,,0,,,0,,,1,1,,1,3,0,0,1,2
Murders,3,12,73,1,8,87,7,2,114,4,3,110,4,6,110,88,96,123,117,120
Pneumonia,1,3,127,2,2,147,1,1,164,3,5,172,10,6,215,131,151,166,180,231
"Ill-defined symptoms, signs and conditions",4,3,5,3,,9,2,5,10,5,9,11,2,4,7,12,12,17,25,13
Suicides,195,250,895,176,227,903,171,219,967,205,275,954,174,239,955,1340,1306,1357,1434,1368
Tumors,3,4,93,2,6,104,4,5,88,3,3,87,3,6,116,100,112,97,93,125
Total,399,525,4120,362,509,4491,374,491,4550,396,542,4613,376,549,4768,5044,5362,5415,5551,5693
