Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,17,22,37,14,24
Other causes and unknown causes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Other external causes,0.1,0.1,1.8,0.1,0.1,2.0,0.1,0.1,2.0,0.1,0.1,2.0,0.1,0.1,1.8,353,406,388,398,361
Other diseases of the circulatory system,0.5,0.6,8.2,0.5,0.7,8.4,0.3,0.7,8.5,0.4,0.5,8.6,0.3,0.7,8.2,1575,1786,1718,1796,1611
Other diseases of the nervous system and sense organs,0.1,0.2,1.2,0.2,0.2,1.4,0.2,0.3,1.4,0.1,0.2,1.4,0.2,0.3,1.5,277,336,351,327,358
Other diseases of the respiratory system,0.1,0.1,2.0,0.2,0.3,2.1,0.2,0.3,2.0,0.2,0.3,2.3,0.1,0.3,1.8,391,481,447,505,385
Other endocrine diseases,0.1,0.1,0.7,0.1,0.1,0.7,0.1,0.1,0.8,0.1,0.1,0.9,0.1,0.1,0.8,150,164,177,198,173
Other behavioral disorders,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,23,27,25,21,31
Cardiac arrest,0.1,0.1,1.7,0.1,0.1,2.3,0.1,0.1,1.8,0.1,0.1,1.8,0.0,0.0,0.0,319,474,369,369,0
Accidental falls,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.1,0.3,67,77,77,75,72
Hypertensive heart disease,0.2,0.4,7.9,0.2,0.3,7.7,0.2,0.3,7.7,0.2,0.4,8.3,0.2,0.3,8.3,1431,1524,1469,1652,1564
Ischemic heart disease,0.8,0.9,9.3,0.6,0.8,9.0,0.6,0.9,8.6,0.6,0.8,8.5,0.5,0.9,8.3,1862,1948,1817,1848,1710
Covid-19 virus identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.9,0,0,0,0,216
Covid-19 virus not identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,0,32
Dementia,0.0,0.1,2.8,0.0,0.1,3.3,0.0,0.1,3.4,0.0,0.1,3.5,0.0,0.0,3.5,510,626,631,673,628
Diabetes,0.3,0.5,5.0,0.3,0.5,4.7,0.3,0.5,4.7,0.3,0.6,4.8,0.4,0.6,5.0,991,1029,1000,1072,1071
Influenza,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,11,21,39,26,9
Alzheimer's disease,0.1,0.1,1.6,0.0,0.2,1.5,0.0,0.1,1.7,0.1,0.1,1.3,0.0,0.1,1.5,303,319,336,285,291
Cerebrovascular diseases,0.5,0.6,11.8,0.4,0.6,12.0,0.4,0.6,10.9,0.3,0.6,10.4,0.4,0.8,10.2,2191,2428,2131,2118,2022
Congenital diseases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,14,6,11,11
Chronic lower respiratory disease,0.2,0.4,4.5,0.2,0.3,4.6,0.3,0.5,4.5,0.2,0.4,4.6,0.2,0.4,3.9,875,960,936,980,787
Blood diseases,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,88,77,78,92,77
Osteo-muscular diseases,0.0,0.0,0.3,0.1,0.1,0.4,0.0,0.1,0.3,0.0,0.1,0.4,0.0,0.0,0.4,65,108,73,99,74
Skin and subcutaneous tissue diseases,0.3,0.4,2.2,0.2,0.3,2.2,0.3,0.4,2.3,0.3,0.5,2.4,0.2,0.5,2.3,498,524,535,590,529
Gastrointestinal diseases,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.2,38,46,47,61,45
Genitourinary diseases,0.1,0.2,0.9,0.1,0.1,0.9,0.1,0.2,0.9,0.1,0.1,1.0,0.1,0.2,1.0,202,203,207,231,210
Infectious diseases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,4,5,5,11,48
Interstitial lung diseases (Interstitial pneumonia),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0
Murders,0.0,0.0,1.0,0.0,0.1,1.3,0.1,0.1,1.7,0.1,0.1,1.5,0.1,0.2,1.3,183,259,350,319,279
Pneumonia,0.1,0.1,3.0,0.1,0.1,3.2,0.1,0.1,3.3,0.1,0.1,3.5,0.2,0.2,4.2,550,642,640,694,805
"Ill-defined symptoms, signs and conditions",0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,29,26,24,31,34
Suicides,0.1,0.1,2.0,0.1,0.1,2.2,0.1,0.1,2.0,0.1,0.1,2.2,0.1,0.1,2.4,379,441,390,461,456
Tumors,3.1,3.6,14.4,2.8,3.1,13.9,2.9,3.4,14.0,2.6,3.5,13.8,2.7,3.6,14.8,3565,3699,3627,3717,3739
