Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,0.0,0.0,0.2,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,8,9,6,6,4
Other causes and unknown causes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
Other external causes,0.1,0.1,1.0,0.1,0.1,1.6,0.0,0.1,0.8,0.0,0.1,1.3,0.0,0.0,0.8,35,57,29,46,37
Other diseases of the circulatory system,0.3,0.6,11.1,0.3,0.4,11.5,0.3,0.5,11.7,0.3,0.5,12.1,0.3,0.3,9.5,350,395,390,397,421
Other diseases of the nervous system and sense organs,0.1,0.3,2.8,0.2,0.2,3.0,0.4,0.2,2.9,0.2,0.4,3.2,0.2,0.5,2.0,96,107,109,119,114
Other diseases of the respiratory system,0.0,0.3,1.8,0.0,0.2,2.1,0.0,0.1,1.9,0.0,0.1,2.2,0.0,0.1,1.7,61,76,64,72,78
Other endocrine diseases,0.1,0.0,0.9,0.1,0.1,0.8,0.1,0.2,0.4,0.1,0.1,0.8,0.1,0.1,0.7,29,31,21,32,40
Other behavioral disorders,0.1,0.0,0.2,0.1,0.1,0.2,0.0,0.1,0.3,0.0,0.0,0.4,0.0,0.0,0.3,8,12,12,12,14
Cardiac arrest,0.1,0.1,0.9,0.1,0.1,0.7,0.1,0.1,1.0,0.1,0.1,1.2,0.0,0.1,0.0,31,27,35,42,3
Accidental falls,0.0,0.0,1.0,0.0,0.1,1.5,0.1,0.0,1.2,0.0,0.0,1.2,0.0,0.1,1.0,31,52,42,39,45
Hypertensive heart disease,0.1,0.1,4.8,0.1,0.2,4.2,0.1,0.1,4.7,0.2,0.1,5.0,0.0,0.1,4.5,146,147,154,165,194
Ischemic heart disease,0.6,0.6,11.6,0.5,0.7,11.5,0.4,0.6,10.4,0.4,0.9,9.6,0.4,0.4,7.2,375,409,357,339,334
Covid-19 virus identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.1,14.0,0,0,0,0,655
Covid-19 virus not identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.5,0,0,0,0,66
Dementia,0.0,0.0,4.3,0.0,0.1,5.1,0.0,0.1,4.7,0.0,0.1,5.3,0.0,0.1,4.5,126,168,148,170,191
Diabetes,0.1,0.1,1.8,0.2,0.2,1.9,0.1,0.1,1.5,0.1,0.1,2.2,0.1,0.2,1.8,57,76,54,78,86
Influenza,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.5,0.1,0.0,0.5,0.0,0.1,0.5,6,19,17,16,25
Alzheimer's disease,0.0,0.1,2.4,0.0,0.3,1.8,0.0,0.1,2.4,0.1,0.0,2.0,0.0,0.0,2.0,73,69,78,65,87
