Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,2,5,3,6,6
Other causes and unknown causes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Other external causes,0.1,0.1,1.6,0.1,0.1,1.7,0.0,0.0,1.8,0.1,0.3,2.0,0.1,0.1,1.7,60,67,60,81,66
Other diseases of the circulatory system,0.4,0.5,9.5,0.4,0.3,9.6,0.2,0.4,9.7,0.3,0.3,9.1,0.3,0.4,9.1,345,369,344,343,337
Other diseases of the nervous system and sense organs,0.1,0.3,2.5,0.1,0.3,1.7,0.1,0.1,2.1,0.1,0.3,2.5,0.3,0.3,2.4,96,73,77,103,104
Other diseases of the respiratory system,0.1,0.2,1.8,0.2,0.1,2.0,0.1,0.1,2.1,0.1,0.1,2.4,0.0,0.3,1.9,69,83,78,89,79
Other endocrine diseases,0.1,0.1,0.5,0.1,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.1,0.3,25,24,21,20,13
Other behavioral disorders,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,5,6,2,4,6
Cardiac arrest,0.0,0.1,0.6,0.0,0.0,0.7,0.1,0.0,0.4,0.0,0.1,0.7,0.0,0.0,0.0,22,27,15,29,0
Accidental falls,0.0,0.0,0.9,0.1,0.0,0.6,0.0,0.0,0.5,0.1,0.1,0.7,0.0,0.0,0.7,30,26,18,27,25
Hypertensive heart disease,0.1,0.2,4.7,0.1,0.3,4.8,0.1,0.3,5.3,0.2,0.2,6.1,0.1,0.2,5.4,165,187,186,231,196
Ischemic heart disease,0.5,0.9,11.5,0.4,0.8,12.8,0.4,0.9,11.1,0.5,0.8,11.6,0.4,0.8,10.0,430,504,409,453,391
Covid-19 virus identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.5,0,0,0,0,66
Covid-19 virus not identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0,0,0,0,21
Dementia,0.0,0.1,4.0,0.0,0.1,3.9,0.0,0.2,3.7,0.0,0.1,4.0,0.0,0.1,3.8,137,143,132,144,134
Diabetes,0.2,0.2,2.1,0.3,0.2,2.9,0.2,0.2,2.9,0.1,0.4,2.6,0.1,0.4,3.3,83,121,113,110,135
Influenza,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.1,0.2,0.0,0.1,0.2,0.0,0.0,0.1,1,14,10,9,4
Alzheimer's disease,0.1,0.0,2.2,0.0,0.1,2.3,0.2,0.0,1.8,0.0,0.1,2.5,0.0,0.1,1.9,74,88,64,93,69
Cerebrovascular diseases,0.1,0.4,9.8,0.2,0.3,9.7,0.2,0.3,10.1,0.2,0.5,9.2,0.2,0.5,8.7,345,368,354,346,323
Congenital diseases,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,1,3,4,5,1
Chronic lower respiratory disease,0.2,0.1,4.5,0.1,0.2,4.6,0.2,0.2,4.1,0.1,0.2,4.2,0.1,0.2,4.9,158,180,149,157,179
Blood diseases,0.1,0.0,0.5,0.0,0.0,0.6,0.1,0.0,0.6,0.0,0.0,0.5,0.1,0.0,0.5,21,20,23,17,20
Osteo-muscular diseases,0.0,0.1,0.4,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.1,0.4,0.1,0.1,0.5,16,16,20,18,21
Skin and subcutaneous tissue diseases,0.2,0.3,2.6,0.2,0.3,2.3,0.2,0.4,2.4,0.1,0.3,2.5,0.2,0.1,2.7,102,97,98,104,104
Gastrointestinal diseases,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.1,10,11,9,12,5
Genitourinary diseases,0.0,0.1,1.9,0.1,0.2,2.2,0.2,0.1,2.1,0.1,0.1,2.2,0.1,0.1,2.0,67,91,78,85,75
Infectious diseases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,1,1,2,2
Interstitial lung diseases (Interstitial pneumonia),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,2,0
Murders,0.0,0.1,1.9,0.0,0.0,2.4,0.0,0.1,2.6,0.0,0.1,3.5,0.1,0.1,2.3,65,86,89,127,88
Pneumonia,0.0,0.0,2.3,0.0,0.0,2.5,0.0,0.1,2.4,0.1,0.1,1.5,0.2,0.1,2.7,76,91,83,57,103
"Ill-defined symptoms, signs and conditions",0.1,0.0,0.2,0.1,0.1,0.1,0.0,0.0,0.3,0.1,0.1,0.1,0.1,0.0,0.2,8,9,11,7,10
Suicides,0.0,0.0,2.1,0.0,0.0,1.8,0.1,0.1,2.0,0.0,0.1,1.6,0.1,0.1,2.0,70,66,74,58,75
Tumors,2.9,3.7,18.7,2.8,2.5,17.5,2.8,2.9,18.0,1.7,3.3,17.4,1.9,3.3,18.0,843,819,788,791,806
