Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,0.0,1.0
Other causes and unknown causes,2.3,0.2,1.4,0.2,0.8,0.6,0.8,0.2,0.6,0.4,0.4,0.8,0.6,0.0,0.5,17.0,8.0,8.0,8.0,7.0
Other external causes,0.0,0.0,0.9,0.0,0.0,1.2,0.0,0.2,0.8,0.2,0.0,0.8,0.0,0.0,0.5,4.0,6.0,5.0,5.0,3.0
Other diseases of the circulatory system,0.2,0.5,10.1,0.0,0.6,7.9,0.6,0.6,10.1,0.4,0.8,7.8,0.0,0.5,7.4,47.0,42.0,57.0,45.0,49.0
Other diseases of the nervous system and sense organs,0.0,0.2,1.6,0.6,0.4,2.7,0.4,0.4,2.2,0.0,0.0,3.9,0.2,0.3,1.9,9.0,18.0,15.0,19.0,15.0
Other diseases of the respiratory system,0.2,0.0,3.7,0.4,0.0,2.5,0.0,0.2,0.8,0.0,0.2,3.1,0.2,0.0,1.3,17.0,14.0,5.0,16.0,9.0
Other endocrine diseases,0.2,0.0,0.7,0.2,0.0,0.8,0.0,0.0,1.8,0.2,0.0,1.9,0.0,0.0,1.6,4.0,5.0,9.0,10.0,10.0
Other behavioral disorders,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.6,0.2,0.2,0.2,0.0,0.0,0.2,3.0,0.0,4.0,3.0,1.0
Cardiac arrest,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
Accidental falls,0.0,0.2,1.2,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,1.6,0.2,0.2,0.5,6.0,5.0,4.0,8.0,5.0
Hypertensive heart disease,0.0,0.2,4.8,0.0,0.0,4.4,0.0,0.0,3.0,0.0,0.4,4.5,0.0,0.0,4.2,22.0,21.0,15.0,24.0,26.0
Ischemic heart disease,0.2,0.9,6.2,0.4,0.4,8.1,0.4,0.6,8.3,1.0,0.8,7.4,0.6,1.0,5.3,33.0,44.0,46.0,46.0,43.0
Covid-19 virus identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,14.4,0.0,0.0,0.0,0.0,107.0
Covid-19 virus not identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,9.0
Dementia,0.0,0.2,7.1,0.0,0.4,9.1,0.2,0.0,10.1,0.0,0.2,7.6,0.0,0.3,5.7,32.0,46.0,51.0,38.0,38.0
Diabetes,0.0,0.2,2.3,0.0,0.4,1.0,0.0,0.2,1.0,0.2,0.2,1.6,0.0,0.3,1.3,11.0,7.0,6.0,11.0,10.0
Influenza,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
Alzheimer's disease,0.0,0.0,1.4,0.0,0.2,1.0,0.0,0.0,1.2,0.0,0.2,0.4,0.0,0.5,0.2,6.0,7.0,6.0,3.0,4.0
Cerebrovascular diseases,0.0,0.5,11.3,0.4,0.4,11.6,0.0,0.2,11.6,0.2,0.4,11.1,0.0,0.5,8.4,51.0,60.0,58.0,58.0,55.0
Congenital diseases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Chronic lower respiratory disease,0.0,0.7,3.2,0.2,0.4,4.0,0.0,0.2,4.9,0.2,0.4,3.5,0.0,0.6,4.0,17.0,23.0,26.0,19.0,30.0
Blood diseases,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,1.0,0.0,0.0,2.0,1.0
Osteo-muscular diseases,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.2,0.2,0.0,0.0,1.6,1.0,4.0,4.0,2.0,11.0
Skin and subcutaneous tissue diseases,0.2,0.2,2.1,0.2,0.4,2.3,0.2,0.4,2.8,0.0,1.4,2.3,0.5,0.0,2.1,11.0,14.0,17.0,18.0,17.0
Gastrointestinal diseases,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,5.0,0.0,2.0
Genitourinary diseases,0.0,0.0,1.2,0.2,0.0,1.7,0.0,0.0,1.6,0.0,0.0,1.4,0.5,0.0,1.1,5.0,9.0,8.0,7.0,10.0
