Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Transport accidents,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,28.0,25.0,35.0,36.0,27
Other causes and unknown causes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Other external causes,0.1,0.1,1.2,0.0,0.1,1.5,0.0,0.1,1.4,0.0,0.0,1.5,0.1,0.1,1.2,214.0,276.0,246.0,248.0,235
Other diseases of the circulatory system,0.4,0.5,9.7,0.4,0.5,9.9,0.3,0.5,9.6,0.3,0.5,10.4,0.3,0.6,9.1,1626.0,1801.0,1681.0,1803.0,1801
Other diseases of the nervous system and sense organs,0.2,0.3,2.1,0.2,0.3,2.3,0.2,0.3,2.4,0.2,0.3,2.5,0.2,0.3,2.4,397.0,474.0,470.0,491.0,524
Other diseases of the respiratory system,0.0,0.1,1.7,0.0,0.1,2.2,0.1,0.1,2.1,0.1,0.1,2.3,0.1,0.1,1.9,290.0,390.0,367.0,415.0,375
Other endocrine diseases,0.1,0.1,0.8,0.1,0.1,0.8,0.0,0.1,0.7,0.1,0.1,0.8,0.1,0.1,0.8,146.0,164.0,130.0,152.0,174
Other behavioral disorders,0.0,0.0,0.2,0.0,0.0,0.2,0.1,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,45.0,42.0,47.0,48.0,49
Cardiac arrest,0.1,0.1,0.7,0.1,0.1,0.9,0.1,0.1,0.9,0.1,0.1,1.3,0.0,0.0,0.0,132.0,179.0,174.0,238.0,3
Accidental falls,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.1,0.6,0.0,0.0,0.6,91.0,89.0,88.0,112.0,123
Hypertensive heart disease,0.1,0.2,5.9,0.1,0.2,5.9,0.1,0.2,5.9,0.1,0.2,5.9,0.1,0.2,5.8,964.0,1045.0,999.0,999.0,1096
