Region,From 65 to 69 years,From 70 to 74 years,75 years or over,Total
Italy,3.468.709,3.215.420,7.009.086,59.816.673
Piemonte,269.068,253.898,584.951,4.328.565
Valle d'Aosta/Vallée d'Aoste,7.698,6.829,15.404,125.653
Liguria,97.247,98.361,242.239,1.532.980
Lombardia,565.823,529.947,1.173.339,10.010.833
Trentino-Alto Adige/Südtirol,56.682,51.444,116.135,1074.034
Veneto,282.034,262.319,575.626,4.884.590
Friuli-Venezia Giulia,75.813,74.833,166.874,1.210.414
Emilia-Romagna,253.699,244.579,573.169,4.459.453
Toscana,221.392,222.255,499.692,3.701.343
Umbria,53.348,50.261,120.395,873.744
Marche,91.503,82.922,203.595,1.520.321
Lazio,321.905,297.001,640.904,5.773.076
Abruzzo,79.704,70.415,160.189,1.300.645
Molise,19.368,16.460,39.022,303.790
Campania,306.838,269.989,501.816,5.740.291
Puglia,233.644,215.484,428.886,3.975.528
Basilicata,34.035,28.139,66.353,558.587
Calabria,112.901,95.956,204.515,1.912.021
Sicilia,281.060,252.637,506.851,4.908.548
Sardegna,104.947,91.691,189.131,1.622.257
