Region,From 65 to 69 years,From 70 to 74 years,75 years or over,Total,Total Region,Ratio Elder/Total
Italy,3471014,3324360,7063716,13859090,59641488,23
Piemonte,267144,260991,587825,1115960,4311217,26
Valle d'Aosta/Vallée d'Aoste,7656,7148,15505,30309,125034,24
Liguria,96341,99427,242576,438344,1524826,29
Lombardia,561986,546328,1187521,2295835,10027602,23
Trentino-Alto Adige/Südtirol,57316,52283,118305,227904,1078069,21
Veneto,282684,268044,584939,1135667,4879133,23
Friuli-Venezia Giulia,75003,75536,169366,319905,1206216,27
Emilia-Romagna,252994,250694,575788,1079476,4464119,24
Toscana,219688,228237,502503,950428,3692555,26
Umbria,52889,51978,120943,225810,870165,26
Marche,91720,85705,203601,381026,1512672,25
Lazio,324265,306728,645884,1276877,5755700,22
Abruzzo,79713,73892,160683,314288,1293941,24
Molise,19339,17692,38856,75887,300516,25
Campania,310937,284977,503720,1099634,5712143,19
Puglia,233182,225233,433427,891842,3953305,23
Basilicata,34266,30160,65575,130001,553254,23
Calabria,113888,101516,204470,419874,1894110,22
Sicilia,283330,263695,509185,1056210,4875290,22
Sardegna,106673,94096,193044,393813,1611621,24
